epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,175.082,1.02285,1.13412,1.23513,0.93359,0.96266,0.995,0.62843,1.3802,1.15416,1.68438,0.000660045,0.000660045,0.000660045
43,178.69,1.07378,0.99908,1.30615,0.89022,0.99074,0.9825,0.63777,1.30902,1.05687,1.5677,0.000649046,0.000649046,0.000649046
44,182.808,1.05165,1.04051,1.32657,0.92918,0.99174,0.995,0.57613,1.5211,1.1482,1.70829,0.000638047,0.000638047,0.000638047
45,186.401,0.99643,1.05575,1.38384,0.92918,0.99174,0.995,0.57613,1.5211,1.1482,1.70829,0.000627048,0.000627048,0.000627048
46,190.066,0.98871,0.92123,1.25072,0.94281,0.99685,0.995,0.56653,1.53831,1.08154,1.67923,0.000616049,0.000616049,0.000616049
47,193.721,1.13502,1.0444,1.36943,0.96988,1,0.995,0.60473,1.35737,1.03207,1.60848,0.000605051,0.000605051,0.000605051
48,197.293,0.91531,0.97313,1.22001,0.97203,0.99102,0.995,0.6329,1.37299,1.01015,1.68185,0.000594052,0.000594052,0.000594052
49,200.903,1.34231,1.36793,1.70529,0.97203,0.99102,0.995,0.6329,1.37299,1.01015,1.68185,0.000583053,0.000583053,0.000583053
50,204.608,1.17378,1.13309,1.41509,0.98266,0.97845,0.995,0.66955,1.28499,1.02643,1.49094,0.000572054,0.000572054,0.000572054
51,208.581,0.88832,0.93595,1.19411,0.96688,0.97139,0.995,0.6573,1.282,1.0549,1.43504,0.000561055,0.000561055,0.000561055
52,212.165,1.1908,1.03167,1.36024,0.94877,0.98528,0.995,0.69085,1.24525,1.08549,1.38536,0.000550056,0.000550056,0.000550056
53,215.738,0.97601,0.97505,1.32776,0.94877,0.98528,0.995,0.69085,1.24525,1.08549,1.38536,0.000539057,0.000539057,0.000539057
54,219.392,0.96876,1.00565,1.24482,0.95543,0.99673,0.995,0.68787,1.17109,1.03726,1.38639,0.000528058,0.000528058,0.000528058
55,222.97,1.03677,0.93931,1.34049,0.96721,0.99869,0.995,0.64897,1.19538,1.02139,1.40914,0.000517059,0.000517059,0.000517059
56,226.693,0.90054,1.15287,1.1838,0.95327,0.98485,0.995,0.63188,1.26021,0.96896,1.44238,0.00050606,0.00050606,0.00050606
57,230.283,0.93417,0.98656,1.23314,0.95327,0.98485,0.995,0.63188,1.26021,0.96896,1.44238,0.000495062,0.000495062,0.000495062
58,233.984,0.95807,1.11323,1.26487,0.92744,0.98889,0.995,0.65363,1.24324,0.93475,1.4769,0.000484063,0.000484063,0.000484063
59,237.628,1.11042,1.10281,1.56088,0.92293,0.99267,0.995,0.62395,1.32189,0.95333,1.61431,0.000473064,0.000473064,0.000473064
60,241.207,0.92662,0.87263,1.18464,0.93362,1,0.995,0.63903,1.29479,0.95815,1.63001,0.000462065,0.000462065,0.000462065
61,244.76,0.8113,0.83171,1.09178,0.93362,1,0.995,0.63903,1.29479,0.95815,1.63001,0.000451066,0.000451066,0.000451066
62,248.346,1.14654,1.0581,1.3281,0.93244,1,0.995,0.66368,1.26247,0.97861,1.61424,0.000440067,0.000440067,0.000440067
63,251.987,0.95297,0.91199,1.17263,0.93497,1,0.995,0.6594,1.29615,0.97312,1.60105,0.000429068,0.000429068,0.000429068
64,255.79,0.85937,1.00294,1.19295,0.92862,1,0.995,0.63464,1.34076,0.99227,1.6922,0.000418069,0.000418069,0.000418069
65,259.312,1.04233,0.92657,1.27547,0.92862,1,0.995,0.63464,1.34076,0.99227,1.6922,0.00040707,0.00040707,0.00040707
66,262.952,0.97243,1.20204,1.34477,0.92477,1,0.995,0.59291,1.47043,1.02477,1.90098,0.000396071,0.000396071,0.000396071
67,266.522,1.00553,0.92203,1.3433,0.93424,1,0.995,0.58077,1.48993,0.99961,1.91092,0.000385073,0.000385073,0.000385073
68,270.104,0.92878,0.92527,1.23978,0.94354,1,0.995,0.63465,1.35619,0.98484,1.69171,0.000374074,0.000374074,0.000374074
69,273.625,1.01992,0.89892,1.33328,0.94354,1,0.995,0.63465,1.35619,0.98484,1.69171,0.000363075,0.000363075,0.000363075
70,277.222,0.88463,0.87245,1.20121,0.95759,1,0.995,0.67928,1.24165,0.97429,1.46469,0.000352076,0.000352076,0.000352076
71,280.869,0.70792,0.88023,1.12255,0.95065,1,0.995,0.6791,1.23968,0.98825,1.42237,0.000341077,0.000341077,0.000341077
72,284.566,1.12182,1.41356,1.45678,0.94895,0.99669,0.995,0.66706,1.27548,0.97495,1.49333,0.000330078,0.000330078,0.000330078
73,288.096,0.73657,0.95247,1.18491,0.94895,0.99669,0.995,0.66706,1.27548,0.97495,1.49333,0.000319079,0.000319079,0.000319079
74,291.678,1.20067,0.93658,1.52627,0.94552,0.99567,0.995,0.61447,1.37016,0.98095,1.6947,0.00030808,0.00030808,0.00030808
75,295.346,1.00049,0.90245,1.31566,0.94601,0.98867,0.995,0.59623,1.41649,0.96644,1.76395,0.000297081,0.000297081,0.000297081
76,299.08,0.88782,0.88025,1.16853,0.94771,0.99301,0.995,0.60243,1.37418,0.92321,1.70425,0.000286083,0.000286083,0.000286083
77,302.622,1.01788,0.96154,1.33637,0.94771,0.99301,0.995,0.60243,1.37418,0.92321,1.70425,0.000275084,0.000275084,0.000275084
78,306.127,0.7469,0.7921,1.11093,0.955,1,0.995,0.65401,1.29903,0.90071,1.6111,0.000264085,0.000264085,0.000264085
79,310.326,0.78265,0.79485,1.1341,0.95418,1,0.995,0.66872,1.21882,0.86815,1.52984,0.000253086,0.000253086,0.000253086
80,313.775,0.75938,0.95247,1.13473,0.96271,1,0.995,0.68429,1.19825,0.85498,1.53964,0.000242087,0.000242087,0.000242087
81,317.246,0.89457,0.78101,1.16966,0.96271,1,0.995,0.68429,1.19825,0.85498,1.53964,0.000231088,0.000231088,0.000231088
82,320.755,0.86062,0.81558,1.20852,0.96456,1,0.995,0.68514,1.22659,0.85981,1.59598,0.000220089,0.000220089,0.000220089
83,324.295,0.71884,0.76878,1.107,0.96127,1,0.995,0.66083,1.26364,0.86333,1.63949,0.00020909,0.00020909,0.00020909
84,327.752,0.74045,0.80097,1.154,0.95698,1,0.995,0.67166,1.2423,0.85188,1.61786,0.000198091,0.000198091,0.000198091
85,331.197,0.72161,0.78487,1.10811,0.95698,1,0.995,0.67166,1.2423,0.85188,1.61786,0.000187092,0.000187092,0.000187092
86,334.569,0.80083,0.85047,1.25902,0.95412,1,0.995,0.67659,1.20489,0.83104,1.55152,0.000176094,0.000176094,0.000176094
87,337.866,0.90491,0.78329,1.2356,0.94766,1,0.995,0.68328,1.18586,0.82307,1.47668,0.000165095,0.000165095,0.000165095
88,341.256,1.12568,1.12238,1.52121,0.94644,1,0.995,0.69619,1.20061,0.83171,1.45133,0.000154096,0.000154096,0.000154096
